catalyst_name,support,promoter,temperature_c,pressure_bar,ghsv,h2_co2_ratio,conversion_pct,selectivity_pct,yield_pct,productivity,stability_text,patent_number,evidence,original_row_index,data_quality_score
Benchmark copper-zinc-magnesium-alumina catalyst (CuO/ZnO/MgO/Al2O3),Al2O3,MgO,265.0,35.0,,3.0,15.0,70.0,,,,1(2).pdf,Catalyst performance table,1,1.0
Copper-zinc-zirconia-alumina catalyst (CuO/ZnO/ZrO2/Al2O3),Al2O3,ZrO2,265.0,35.0,,3.0,18.0,58.0,,,,1(2).pdf,Catalyst performance table,2,1.0
Copper-zinc-alumina-silica-zirconia catalyst,Al2O3/SiO2,ZrO2,265.0,35.0,,3.0,6.0,64.0,,,,1(2).pdf,Catalyst performance table,3,1.0
Copper-zinc-zirconium-aluminium-cerium-titanium catalyst,CeO2/TiO2 used as structural support/promoter in preparation,Ce + Ti + Zr + Al,265.0,35.0,,3.0,19.0,69.0,,,,1(2).pdf,Catalyst performance table,4,1.0
Palladium-copper on titanium dioxide with iron additive (Pd2Cu/Fe on P25 TiO2),"P25 titanium dioxide (TiO2, 21 nm)",Fe,200.0,,,,2.0,98.0,48.0,,,2(3).pdf,Reaction example,5,0.85
Palladium-copper on titanium dioxide with iron additive (Pd2Cu/Fe on P25 TiO2),"P25 titanium dioxide (TiO2, 21 nm)",Fe,200.0,,,,5.0,96.0,63.0,,,2(3).pdf,Reaction example,6,0.85
Copper-zinc oxide on alumina powder with manganese-niobium-zirconium promoters,Alumina powder (Al2O3),Mn/Nb/Zr = 1:1:1,250.0,22.5,,3.0,12.47,60.23,7.5,,,3(2).pdf,Catalyst performance table,7,1.0
Copper-zinc oxide on alumina pellets with manganese-niobium-zirconium promoters,Alumina pellets (Al2O3),Mn/Nb/Zr = 1:1:1,300.0,40.0,,3.0,23.04,64.95,15.61,,,3(2).pdf,Catalyst performance table,8,1.0
Copper-zinc oxide on SBA-15 silica with manganese-niobium-zirconium promoters,SBA-15 silica,Mn/Nb/Zr = 1:1:1,250.0,22.5,,3.0,19.6,99.0,19.4,,,3(2).pdf,Catalyst performance table,9,1.0
Copper-zinc oxide on alumina powder with optimized manganese-niobium-zirconium promoters,Alumina powder (Al2O3),"Mn/Nb/Zr = 4:1:1; Mn 0.06 wt%, Nb 0.015 wt%, Zr 0.015 wt%",300.0,80.0,,10.0,68.35,93.0,63.59,,,3(2).pdf,Catalyst performance table,10,1.0
Copper-zinc-zirconium-cerium-yttrium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.6,,,4(2).pdf,Catalyst performance table,11,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.7,,,4(2).pdf,Catalyst performance table,12,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,11.4,,,4(2).pdf,Catalyst performance table,13,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,10.0,,,4(2).pdf,Catalyst performance table,14,0.6
