catalyst_name,support,promoter,temperature_c,pressure_bar,ghsv,h2_co2_ratio,conversion_pct,selectivity_pct,yield_pct,productivity,stability_text,patent_number,evidence,original_row_index,data_quality_score
Chromium oxide catalyst on alumina [chromium 9 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,40.8,89.7,,,,2(4).pdf,,1,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,40.3,89.6,,,,2(4).pdf,,2,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,40.6,89.9,,,,2(4).pdf,,3,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,33.5,85.7,,,,2(4).pdf,,4,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; silver 3 parts],Alumina (Al2O3),Silver (Ag),580.0,,1.0,,41.3,89.8,,,,2(4).pdf,,5,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; gold 3 parts],Alumina (Al2O3),Gold (Au),580.0,,1.0,,40.9,89.5,,,,2(4).pdf,,6,0.85
Tungsten oxide catalyst on alumina [tungsten 9 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,41.1,90.7,,,,2(4).pdf,,7,0.85
Tungsten oxide catalyst on alumina [tungsten 9 parts; silver 3 parts],Alumina (Al2O3),Silver (Ag),580.0,,1.0,,40.7,90.1,,,,2(4).pdf,,8,0.85
Tungsten oxide catalyst on alumina [tungsten 9 parts; gold 3 parts],Alumina (Al2O3),Gold (Au),580.0,,1.0,,40.3,90.0,,,,2(4).pdf,,9,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; copper 1.5 parts + silver 1.5 parts],Alumina (Al2O3),Copper (Cu); Silver (Ag),580.0,,1.0,,41.9,90.3,,,,2(4).pdf,,10,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; copper 1.5 parts + gold 1.5 parts],Alumina (Al2O3),Copper (Cu); Gold (Au),580.0,,1.0,,41.6,90.2,,,,2(4).pdf,,11,0.85
Tungsten oxide catalyst on alumina [tungsten 9 parts; copper 1.5 parts + silver 1.5 parts],Alumina (Al2O3),Copper (Cu); Silver (Ag),580.0,,1.0,,41.5,90.8,,,,2(4).pdf,,12,0.85
Tungsten oxide catalyst on alumina [tungsten 9 parts; copper 1.5 parts + gold 1.5 parts],Alumina (Al2O3),Copper (Cu); Gold (Au),580.0,,1.0,,41.7,91.2,,,,2(4).pdf,,13,0.85
Chromium oxide catalyst on alumina [chromium 9 parts; copper 1 parts + silver 1 parts + gold 1 parts],Alumina (Al2O3),Copper (Cu); Silver (Ag); Gold (Au),580.0,,1.0,,42.3,91.1,,,,2(4).pdf,,14,0.85
Tungsten oxide catalyst on alumina [tungsten 9 parts; copper 1 parts + silver 1 parts + gold 1 parts],Alumina (Al2O3),Copper (Cu); Silver (Ag); Gold (Au),580.0,,1.0,,42.1,91.3,,,,2(4).pdf,,15,0.85
Chromium-tungsten oxide catalyst on alumina [chromium 4.5 parts + tungsten 4.5 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,43.6,91.1,,,,2(4).pdf,,16,0.85
Chromium-tungsten oxide catalyst on alumina [chromium 2.5 parts + tungsten 2.5 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,43.3,91.2,,,,2(4).pdf,,17,0.85
Chromium-tungsten oxide catalyst on alumina [chromium 12.5 parts + tungsten 12.5 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,43.5,90.9,,,,2(4).pdf,,18,0.85
Chromium-tungsten oxide catalyst on alumina [chromium 1.5 parts + tungsten 1.5 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,43.1,91.4,,,,2(4).pdf,,19,0.85
Chromium-tungsten oxide catalyst on alumina [chromium 10 parts + tungsten 10 parts; copper 3 parts],Alumina (Al2O3),Copper (Cu),580.0,,1.0,,43.8,91.3,,,,2(4).pdf,,20,0.85
