catalyst_name,support,promoter,temperature_c,pressure_bar,ghsv,h2_co2_ratio,conversion_pct,selectivity_pct,yield_pct,productivity,stability_text,patent_number,evidence,original_row_index,data_quality_score
Benchmark Cu/Zn/Mg/Al oxide,Al2O3/MgO mixed oxide,"MgO, Al2O3",265.0,35.0,,0.3333333333333333,15.0,70.0,,,,1.pdf / 13.pdf,Table,1,1.0
Example 1 CuO/ZnO/ZrO2/Al2O3,Al2O3,ZrO2; Al2O3 structural promoter/support,265.0,35.0,,0.3333333333333333,18.0,58.0,,,,1.pdf / 13.pdf,Table,2,1.0
Example 2 CuO/ZnO/Al2O3/SiO2/ZrO2,Al2O3 + SiO2,"ZrO2, SiO2",265.0,35.0,,0.3333333333333333,6.0,64.0,,,,1.pdf / 13.pdf,Table,3,1.0
Example 3 best formulation Cu/Ti/Zn/Zr/Al/Ce,Al-containing mixed oxide,"Ti, Zr, Ce, Al",265.0,35.0,,0.3333333333333333,19.0,69.0,,,,1.pdf / 13.pdf,Table,4,1.0
Pd2Cu/TiO2 supported nanoparticles,P25 TiO2,Fe precursor in synthesis,200.0,31.99,,3.64,2.0,98.0,,48.0,,2.pdf,Table,5,1.0
Pd2Cu/TiO2 supported nanoparticles,P25 TiO2,Fe precursor in synthesis,200.0,36.54,,2.79,5.0,96.0,,63.0,,2.pdf,Table,6,1.0
Cu/ZnO on Al2O3 powder promoted Mn:Nb:Zr (1:1:1),Al2O3 powder,Mn:Nb:Zr (1:1:1),250.0,22.5,,3.0,12.47,60.23,7.5,,,3.pdf,Table,7,1.0
Cu/ZnO on Al2O3 pellets promoted Mn:Nb:Zr (1:1:1),Al2O3 pellets,Mn:Nb:Zr (1:1:1),300.0,40.0,,3.0,24.94,64.95,15.61,,,3.pdf,Table,8,1.0
Cu/ZnO on SBA-15 powder promoted Mn:Nb:Zr (1:1:1),SBA-15 powder,Mn:Nb:Zr (1:1:1),250.0,22.5,,3.0,19.6,99.0,19.4,,,3.pdf,Table,9,1.0
Cu/ZnO on Al2O3 powder promoted Mn:Nb:Zr (4:1:1),Al2O3 powder,Mn:Nb:Zr (4:1:1),300.0,80.0,,10.0,68.35,93.0,63.59,,,3.pdf,Table,10,1.0
